Input, Num of Threads, Avg Time Taken(s), Max Time Taken(s), Min Time Taken(s)
1, 1, 12.855696, 17.8064, 8.62736
1, 32, 0.43175749999999996, 0.551224, 0.346936
1, 64, 0.2887788, 0.448485, 0.193217
1, 128, 0.125827, 0.168455, 0.105236
1, 256, 0.010914318000000001, 0.0384744, 0.00183899
2, 1, 3566.6266666666666, 5056.15, 2491.34
2, 32, 123.10297, 199.371, 87.6144
2, 64, 71.01471000000001, 84.9965, 53.7107
2, 128, 38.18222000000001, 65.237, 31.3737
2, 256, 1.29042741, 11.7601, 0.0235541
3, 32, 94.30587777777778, 266.079, 10.8645
3, 64, 86.757984, 180.735, 1.73611
3, 128, 835.4170200000001, 6568.86, 13.1795
3, 256, 44.31403, 88.7773, 11.281
4, 32, 0.5297719000000001, 0.841945, 0.316053
4, 64, 0.31154580000000004, 0.383616, 0.202673
4, 128, 0.1502292, 0.200342, 0.122545
4, 256, 0.0100685147, 0.0261911, 0.000902233
5, 32, 125.19368, 174.482, 75.8508
5, 64, 74.22855999999999, 97.1052, 41.5616
5, 128, 40.72009, 69.1153, 25.4423
5, 256, 2.7875844499999998, 21.0836, 0.0911495
